0 GOBLIN_SPIDERPIT_VENOMSACK_SCIENCE_UPGRADE_BUILDTIME | TO | M_GOBLIN_SPIDERPIT_VENOMSACK_SCIENCE_UPGRADE_BUILDTIME
18 ELVEN_VIGILANTENTEXPANSION_HEALTH_REALLY_DAMAGED | TO | M_ELVEN_VIGILANTENTEXPANSION_HEALTH_REALLY_DAMAGED
19 PORTER_FIRE_EXTINGUISHER_DECREASEBURNRATE_AMOUNT | TO | M_PORTER_FIRE_EXTINGUISHER_DECREASEBURNRATE_AMOUNT
20 PORTER_FIRE_EXTINGUISHER_DECREASEBURNRATE_RADIUS | TO | M_PORTER_FIRE_EXTINGUISHER_DECREASEBURNRATE_RADIUS
21 CREATE_A_HERO_RAIN_OF_ARROWS_SHOTS_PER_BURST_L3 | TO | M_CREATE_A_HERO_RAIN_OF_ARROWS_SHOTS_PER_BURST_L3
22 CREATE_A_HERO_RAIN_OF_ARROWS_SHOTS_PER_BURST_L2 | TO | M_CREATE_A_HERO_RAIN_OF_ARROWS_SHOTS_PER_BURST_L2
23 CREATE_A_HERO_RAIN_OF_ARROWS_SHOTS_PER_BURST_L1 | TO | M_CREATE_A_HERO_RAIN_OF_ARROWS_SHOTS_PER_BURST_L1
24 WILD_GIANTSENTRYEXPANSION_HEALTH_REALLY_DAMAGED | TO | M_WILD_GIANTSENTRYEXPANSION_HEALTH_REALLY_DAMAGED
25 WILD_SPIDERHOLESEXPANSION_HEALTH_REALLY_DAMAGED | TO | M_WILD_SPIDERHOLESEXPANSION_HEALTH_REALLY_DAMAGED
26 GOBLIN_SPIDERPIT_VENOMSACK_SCIENCE_UPGRADE_COST | TO | M_GOBLIN_SPIDERPIT_VENOMSACK_SCIENCE_UPGRADE_COST
27 MORDOR_BARRICADEEXPANSION_HEALTH_REALLY_DAMAGED | TO | M_MORDOR_BARRICADEEXPANSION_HEALTH_REALLY_DAMAGED
28 MORDOR_WALLCATAPULTEXPANSION_FIRE_MAX_BURN_RATE | TO | M_MORDOR_WALLCATAPULTEXPANSION_FIRE_MAX_BURN_RATE
29 MORDOR_HARADRIM_BOW_BARBEDARROWS_PREATTACKDELAY | TO | M_MORDOR_HARADRIM_BOW_BARBEDARROWS_PREATTACKDELAY
30 ISENGARD_WIZARDSTOWER_LIGHTNING_SHOT_DMG_RADIUS | TO | M_ISENGARD_WIZARDSTOWER_LIGHTNING_SHOT_DMG_RADIUS
31 ANGMAR_WALLCATAPULT_SMALL_HEALTH_REALLY_DAMAGED | TO | M_ANGMAR_WALLCATAPULT_SMALL_HEALTH_REALLY_DAMAGED
32 ELVEN_WATCHTOWEREXPANSION_HEALTH_REALLY_DAMAGED | TO | M_ELVEN_WATCHTOWEREXPANSION_HEALTH_REALLY_DAMAGED
33 ELVEN_LORIENARCHER_ARCHER_DAMAGE_UPGRADE_PIERCE | TO | M_ELVEN_LORIENARCHER_ARCHER_DAMAGE_UPGRADE_PIERCE
34 DWARVEN_POSTERNGATE_SMALL_HEALTH_REALLY_DAMAGED | TO | M_DWARVEN_POSTERNGATE_SMALL_HEALTH_REALLY_DAMAGED
35 DWARVEN_WALLSEGMENT_SMALL_HEALTH_REALLY_DAMAGED | TO | M_DWARVEN_WALLSEGMENT_SMALL_HEALTH_REALLY_DAMAGED
36 DWARVEN_CATAPULTEXPANSION_HEALTH_REALLY_DAMAGED | TO | M_DWARVEN_CATAPULTEXPANSION_HEALTH_REALLY_DAMAGED
37 DWARVEN_BATTLEWAGON_PASSENGER_DELAYBETWEENSHOTS | TO | M_DWARVEN_BATTLEWAGON_PASSENGER_DELAYBETWEENSHOTS
38 ANGMAR_WITCHKING_MORGULBLADE_DELAYBETWEENSHOTS | TO | M_ANGMAR_WITCHKING_MORGULBLADE_DELAYBETWEENSHOTS
39 WILD_FORTRESS_WEBCOCOON_EXPANSION_HEALTH_BONUS | TO | M_WILD_FORTRESS_WEBCOCOON_EXPANSION_HEALTH_BONUS
40 MORDOR_GATEWATCHEREXPANSION_FIRE_MAX_BURN_RATE | TO | M_MORDOR_GATEWATCHEREXPANSION_FIRE_MAX_BURN_RATE
41 ISENGARD_CASTLE_WALLGATE_HEALTH_REALLY_DAMAGED | TO | M_ISENGARD_CASTLE_WALLGATE_HEALTH_REALLY_DAMAGED
42 ISENGARD_MINELAUNCHEREXPANSION_FIRE_RESISTANCE | TO | M_ISENGARD_MINELAUNCHEREXPANSION_FIRE_RESISTANCE
43 ISENGARD_WIZARDSTOWER_LIGHTNING_FIRE_START_RAD | TO | M_ISENGARD_WIZARDSTOWER_LIGHTNING_FIRE_START_RAD
44 ANGMAR_POSTERNGATE_SMALL_HEALTH_REALLY_DAMAGED | TO | M_ANGMAR_POSTERNGATE_SMALL_HEALTH_REALLY_DAMAGED
45 ANGMAR_WALLSEGMENT_SMALL_HEALTH_REALLY_DAMAGED | TO | M_ANGMAR_WALLSEGMENT_SMALL_HEALTH_REALLY_DAMAGED
46 ELVEN_CASTLE_WALLSEGMENT_HEALTH_REALLY_DAMAGED | TO | M_ELVEN_CASTLE_WALLSEGMENT_HEALTH_REALLY_DAMAGED
47 ELVEN_FLOODGATEEXPANSION_HEALTH_REALLY_DAMAGED | TO | M_ELVEN_FLOODGATEEXPANSION_HEALTH_REALLY_DAMAGED
48 ELVEN_LORIENARCHER_ARCHER_DAMAGE_UPGRADE_MAGIC | TO | M_ELVEN_LORIENARCHER_ARCHER_DAMAGE_UPGRADE_MAGIC
49 DWARVEN_SUMMONED_CITADEL_HEALTH_REALLY_DAMAGED | TO | M_DWARVEN_SUMMONED_CITADEL_HEALTH_REALLY_DAMAGED
50 SUMMONED_DRAGON_FLAME_INCREASEBURNRATE_AMOUNT | TO | M_SUMMONED_DRAGON_FLAME_INCREASEBURNRATE_AMOUNT
51 SUMMONED_DRAGON_FLAME_INCREASEBURNRATE_RADIUS | TO | M_SUMMONED_DRAGON_FLAME_INCREASEBURNRATE_RADIUS
52 SUMMONED_DRAGON_FLAME_FUELINCREASE_RESISTANCE | TO | M_SUMMONED_DRAGON_FLAME_FUELINCREASE_RESISTANCE
53 BABYDRAKE_INFERNO_FUELINCREASE_MINMAXBURNRATE | TO | M_BABYDRAKE_INFERNO_FUELINCREASE_MINMAXBURNRATE
54 FIREDRAKE_INFERNO_FUELINCREASE_MINMAXBURNRATE | TO | M_FIREDRAKE_INFERNO_FUELINCREASE_MINMAXBURNRATE
55 SPELL_HALDIR_GOLDENARROW_DAYLIGHT_DURATION_MS | TO | M_SPELL_HALDIR_GOLDENARROW_DAYLIGHT_DURATION_MS
56 GOBLIN_TREASURETROVE_LEVEL3_UPGRADE_BUILDTIME | TO | M_GOBLIN_TREASURETROVE_LEVEL3_UPGRADE_BUILDTIME
57 GOBLIN_TREASURETROVE_LEVEL2_UPGRADE_BUILDTIME | TO | M_GOBLIN_TREASURETROVE_LEVEL2_UPGRADE_BUILDTIME
58 WILD_FORTRESS_WEBCOCOON_EXPANSION_ARMOR_BONUS | TO | M_WILD_FORTRESS_WEBCOCOON_EXPANSION_ARMOR_BONUS
59 MORDOR_GATEWATCHEREXPANSION_DELAYBETWEENSHOTS | TO | M_MORDOR_GATEWATCHEREXPANSION_DELAYBETWEENSHOTS
60 MORDOR_ATTACKTROLL_SHOULDER_DELAYBETWEENSHOTS | TO | M_MORDOR_ATTACKTROLL_SHOULDER_DELAYBETWEENSHOTS
61 ISENGARD_CASTLE_WALLHUB_HEALTH_REALLY_DAMAGED | TO | M_ISENGARD_CASTLE_WALLHUB_HEALTH_REALLY_DAMAGED
62 ISENGARD_MINELAUNCHEREXPANSION_HEALTH_DAMAGED | TO | M_ISENGARD_MINELAUNCHEREXPANSION_HEALTH_DAMAGED
63 ISENGARD_BALLISTAEXPANSION_FIRE_MAX_BURN_RATE | TO | M_ISENGARD_BALLISTAEXPANSION_FIRE_MAX_BURN_RATE
64 ISENGARD_TOWEREXPANSION_HEALTH_REALLY_DAMAGED | TO | M_ISENGARD_TOWEREXPANSION_HEALTH_REALLY_DAMAGED
65 MEN_WALLTREBUCHET_SMALL_HEALTH_REALLY_DAMAGED | TO | M_MEN_WALLTREBUCHET_SMALL_HEALTH_REALLY_DAMAGED
66 GONDOR_TOWERGUARD_FORGEDBLADES_UPGRADE_DAMAGE | TO | M_GONDOR_TOWERGUARD_FORGEDBLADES_UPGRADE_DAMAGE
67 ELVEN_VIGILANTENTEXPANSION_FIRE_MAX_BURN_RATE | TO | M_ELVEN_VIGILANTENTEXPANSION_FIRE_MAX_BURN_RATE
68 DWARVEN_ARCHERYRANGE_LEVEL3_UPGRADE_BUILDTIME | TO | M_DWARVEN_ARCHERYRANGE_LEVEL3_UPGRADE_BUILDTIME
69 DWARVEN_ARCHERYRANGE_LEVEL2_UPGRADE_BUILDTIME | TO | M_DWARVEN_ARCHERYRANGE_LEVEL2_UPGRADE_BUILDTIME
70 DWARVEN_WALLTOWER_SMALL_HEALTH_REALLY_DAMAGED | TO | M_DWARVEN_WALLTOWER_SMALL_HEALTH_REALLY_DAMAGED
71 DWARVEN_BATTLEWAGON_PASSENGER_DAMAGE_UPGRADED | TO | M_DWARVEN_BATTLEWAGON_PASSENGER_DAMAGE_UPGRADED
72 DWARVEN_GUARDIAN_AXE_SIEGEHAMMER_VS_STRUCTURE | TO | M_DWARVEN_GUARDIAN_AXE_SIEGEHAMMER_VS_STRUCTURE
73 WILD_GIANTSENTRYEXPANSION_FIRE_MAX_BURN_RATE | TO | M_WILD_GIANTSENTRYEXPANSION_FIRE_MAX_BURN_RATE
74 WILD_SPIDERHOLESEXPANSION_FIRE_MAX_BURN_RATE | TO | M_WILD_SPIDERHOLESEXPANSION_FIRE_MAX_BURN_RATE
75 WILD_ARROWDENEXPANSION_HEALTH_REALLY_DAMAGED | TO | M_WILD_ARROWDENEXPANSION_HEALTH_REALLY_DAMAGED
76 GOBLIN_SPIDERPIT_VENOMSACK_UPGRADE_BUILDTIME | TO | M_GOBLIN_SPIDERPIT_VENOMSACK_UPGRADE_BUILDTIME
77 MORDOR_BARRICADEEXPANSION_FIRE_MAX_BURN_RATE | TO | M_MORDOR_BARRICADEEXPANSION_FIRE_MAX_BURN_RATE
78 MORDOR_WALLCATAPULTEXPANSION_FIRE_RESISTANCE | TO | M_MORDOR_WALLCATAPULTEXPANSION_FIRE_RESISTANCE
79 MORDOR_GORGOROTHSPIRE_ROCK_DELAYBETWEENSHOTS | TO | M_MORDOR_GORGOROTHSPIRE_ROCK_DELAYBETWEENSHOTS
80 ISENGARD_WARG_SENTRY_MAXHEALTH_REALLYDAMAGED | TO | M_ISENGARD_WARG_SENTRY_MAXHEALTH_REALLYDAMAGED
81 ISENGARD_WIZARDSTOWER_LIGHTNING_DAMAGE_FLAME | TO | M_ISENGARD_WIZARDSTOWER_LIGHTNING_DAMAGE_FLAME
82 ANGMAR_WALLTOWER_SMALL_HEALTH_REALLY_DAMAGED | TO | M_ANGMAR_WALLTOWER_SMALL_HEALTH_REALLY_DAMAGED
83 GONDOR_ARCHERYRANGE_LEVEL3_UPGRADE_BUILDTIME | TO | M_GONDOR_ARCHERYRANGE_LEVEL3_UPGRADE_BUILDTIME
84 GONDOR_ARCHERYRANGE_LEVEL2_UPGRADE_BUILDTIME | TO | M_GONDOR_ARCHERYRANGE_LEVEL2_UPGRADE_BUILDTIME
85 MEN_DORMITORYEXPANSION_HEALTH_REALLY_DAMAGED | TO | M_MEN_DORMITORYEXPANSION_HEALTH_REALLY_DAMAGED
86 MEN_TREBUCHETEXPANSION_HEALTH_REALLY_DAMAGED | TO | M_MEN_TREBUCHETEXPANSION_HEALTH_REALLY_DAMAGED
87 ELVEN_FLOODGATE_EXPANSION_FLOOD_HORSE_RADIUS | TO | M_ELVEN_FLOODGATE_EXPANSION_FLOOD_HORSE_RADIUS
88 ELVEN_FLOODGATE_EXPANSION_FLOOD_HORSE_DAMAGE | TO | M_ELVEN_FLOODGATE_EXPANSION_FLOOD_HORSE_DAMAGE
89 ELVEN_WATCHTOWEREXPANSION_FIRE_MAX_BURN_RATE | TO | M_ELVEN_WATCHTOWEREXPANSION_FIRE_MAX_BURN_RATE
90 ELVEN_GREEN_PASTURE_LEVEL3_UPGRADE_BUILDTIME | TO | M_ELVEN_GREEN_PASTURE_LEVEL3_UPGRADE_BUILDTIME
91 ELVEN_GREEN_PASTURE_LEVEL2_UPGRADE_BUILDTIME | TO | M_ELVEN_GREEN_PASTURE_LEVEL2_UPGRADE_BUILDTIME
92 DWARVEN_ARCHERYRANGE_MAXHEALTH_REALLYDAMAGED | TO | M_DWARVEN_ARCHERYRANGE_MAXHEALTH_REALLYDAMAGED
93 DWARVEN_WALLGATE_SMALL_HEALTH_REALLY_DAMAGED | TO | M_DWARVEN_WALLGATE_SMALL_HEALTH_REALLY_DAMAGED
94 DWARVEN_BATTLEWAGON_PASSENGER_FIRINGDURATION | TO | M_DWARVEN_BATTLEWAGON_PASSENGER_FIRINGDURATION
95 DWARVEN_BATTLEWAGON_PASSENGER_PREATTACKDELAY | TO | M_DWARVEN_BATTLEWAGON_PASSENGER_PREATTACKDELAY
96 PORTER_FIRE_EXTINGUISHER_ABILITY_START_RANGE | TO | M_PORTER_FIRE_EXTINGUISHER_ABILITY_START_RANGE
97 CREATE_A_HERO_BERSERKER_RAGE_DAMAGE_MULT_L4 | TO | M_CREATE_A_HERO_BERSERKER_RAGE_DAMAGE_MULT_L4
98 CREATE_A_HERO_BERSERKER_RAGE_DAMAGE_MULT_L3 | TO | M_CREATE_A_HERO_BERSERKER_RAGE_DAMAGE_MULT_L3
99 CREATE_A_HERO_BERSERKER_RAGE_DAMAGE_MULT_L2 | TO | M_CREATE_A_HERO_BERSERKER_RAGE_DAMAGE_MULT_L2
100 CREATE_A_HERO_BERSERKER_RAGE_DAMAGE_MULT_L1 | TO | M_CREATE_A_HERO_BERSERKER_RAGE_DAMAGE_MULT_L1
101 CREATE_A_HERO_SUMMON_FAMILIAR_CURSOR_RADIUS | TO | M_CREATE_A_HERO_SUMMON_FAMILIAR_CURSOR_RADIUS
102 CREATE_A_HERO_RAIN_OF_ARROWS_DO_POWER_RANGE | TO | M_CREATE_A_HERO_RAIN_OF_ARROWS_DO_POWER_RANGE
103 CREATE_A_HERO_STEAL_MONEY_DELAYBETWEENSHOTS | TO | M_CREATE_A_HERO_STEAL_MONEY_DELAYBETWEENSHOTS
104 CREATE_A_HERO_WORD_OF_POULTRY_OBJECT_FILTER | TO | M_CREATE_A_HERO_WORD_OF_POULTRY_OBJECT_FILTER
105 CREATE_A_HERO_CRIPPLE_RANGED_DO_POWER_RANGE | TO | M_CREATE_A_HERO_CRIPPLE_RANGED_DO_POWER_RANGE
106 BABYDRAKE_FLAME_FUELINCREASE_MINMAXBURNRATE | TO | M_BABYDRAKE_FLAME_FUELINCREASE_MINMAXBURNRATE
107 FIREDRAKE_FLAME_FUELINCREASE_MINMAXBURNRATE | TO | M_FIREDRAKE_FLAME_FUELINCREASE_MINMAXBURNRATE
108 ANGMAR_WITCHKING_MORGULBLADE_FIRINGDURATION | TO | M_ANGMAR_WITCHKING_MORGULBLADE_FIRINGDURATION
109 WITCHKING_DREADVISAGE_EFFECT_RADIUS_MOUNTED | TO | M_WITCHKING_DREADVISAGE_EFFECT_RADIUS_MOUNTED
110 WILD_GIANTSENTRYEXPANSION_DELAYBETWEENSHOTS | TO | M_WILD_GIANTSENTRYEXPANSION_DELAYBETWEENSHOTS
111 MORDOR_HARADRIMPALACE_HEALTH_REALLY_DAMAGED | TO | M_MORDOR_HARADRIMPALACE_HEALTH_REALLY_DAMAGED
112 MORDOR_SLAUGHTERHOUSE_HEALTH_REALLY_DAMAGED | TO | M_MORDOR_SLAUGHTERHOUSE_HEALTH_REALLY_DAMAGED
113 MORDOR_GATEWATCHEREXPANSION_FIRE_RESISTANCE | TO | M_MORDOR_GATEWATCHEREXPANSION_FIRE_RESISTANCE
114 MORDOR_WALLCATAPULTEXPANSION_HEALTH_DAMAGED | TO | M_MORDOR_WALLCATAPULTEXPANSION_HEALTH_DAMAGED
115 MORDOR_MORGULSORCERY_EXPANSION_HEALTH_BONUS | TO | M_MORDOR_MORGULSORCERY_EXPANSION_HEALTH_BONUS
116 ISENGARD_WARG_SENTRY_WARG_DELAYBETWEENSHOTS | TO | M_ISENGARD_WARG_SENTRY_WARG_DELAYBETWEENSHOTS
117 ISENGARD_URUKSIEGE_LEVEL3_UPGRADE_BUILDTIME | TO | M_ISENGARD_URUKSIEGE_LEVEL3_UPGRADE_BUILDTIME
118 ISENGARD_URUKSIEGE_LEVEL2_UPGRADE_BUILDTIME | TO | M_ISENGARD_URUKSIEGE_LEVEL2_UPGRADE_BUILDTIME
119 ISENGARD_MINELAUNCHEREXPANSION_BOUNTY_VALUE | TO | M_ISENGARD_MINELAUNCHEREXPANSION_BOUNTY_VALUE
120 ISENGARD_WIZARDSTOWER_LIGHTNING_FIRE_RADIUS | TO | M_ISENGARD_WIZARDSTOWER_LIGHTNING_FIRE_RADIUS
121 ISENGARD_IRONPLATING_EXPANSION_HEALTH_BONUS | TO | M_ISENGARD_IRONPLATING_EXPANSION_HEALTH_BONUS
122 ISENGARD_EXPLOSIVEMINE_HEALTH_RECOVERY_TIME | TO | M_ISENGARD_EXPLOSIVEMINE_HEALTH_RECOVERY_TIME
123 ISENGARD_URUKPIKEMAN_STAB_DELAYBETWEENSHOTS | TO | M_ISENGARD_URUKPIKEMAN_STAB_DELAYBETWEENSHOTS
124 ANGMAR_WALLGATE_SMALL_HEALTH_REALLY_DAMAGED | TO | M_ANGMAR_WALLGATE_SMALL_HEALTH_REALLY_DAMAGED
125 ANGMAR_HALLOFTWILIGHT_HEALTH_REALLY_DAMAGED | TO | M_ANGMAR_HALLOFTWILIGHT_HEALTH_REALLY_DAMAGED
126 MEN_POSTERNGATE_SMALL_HEALTH_REALLY_DAMAGED | TO | M_MEN_POSTERNGATE_SMALL_HEALTH_REALLY_DAMAGED
127 MEN_WALLSEGMENT_SMALL_HEALTH_REALLY_DAMAGED | TO | M_MEN_WALLSEGMENT_SMALL_HEALTH_REALLY_DAMAGED
128 GONDOR_SPEARMEN_FORGEDBLADES_UPGRADE_DAMAGE | TO | M_GONDOR_SPEARMEN_FORGEDBLADES_UPGRADE_DAMAGE
129 ELVEN_PERSONAL_SILVERTHORN_ARROWS_BUILDTIME | TO | M_ELVEN_PERSONAL_SILVERTHORN_ARROWS_BUILDTIME
130 ELVEN_PERSONAL_SILVERTHORN_ARROWS_BUILDCOST | TO | M_ELVEN_PERSONAL_SILVERTHORN_ARROWS_BUILDCOST
131 ELVEN_CASTLE_WALLGATE_HEALTH_REALLY_DAMAGED | TO | M_ELVEN_CASTLE_WALLGATE_HEALTH_REALLY_DAMAGED
132 ELVEN_GREEN_PASTURE_MAXHEALTH_REALLYDAMAGED | TO | M_ELVEN_GREEN_PASTURE_MAXHEALTH_REALLYDAMAGED
133 ELVEN_MALLORN_TREE_LEVEL3_UPGRADE_BUILDTIME | TO | M_ELVEN_MALLORN_TREE_LEVEL3_UPGRADE_BUILDTIME
134 ELVEN_MALLORN_TREE_LEVEL2_UPGRADE_BUILDTIME | TO | M_ELVEN_MALLORN_TREE_LEVEL2_UPGRADE_BUILDTIME
135 ELVEN_NOLDORWARRIOR_SWORD_DELAYBETWEENSHOTS | TO | M_ELVEN_NOLDORWARRIOR_SWORD_DELAYBETWEENSHOTS
136 ELVEN_LINDONWARRIOR_SWORD_DELAYBETWEENSHOTS | TO | M_ELVEN_LINDONWARRIOR_SWORD_DELAYBETWEENSHOTS
137 ELVEN_MITHLONDSENTRY_PIKE_DELAYBETWEENSHOTS | TO | M_ELVEN_MITHLONDSENTRY_PIKE_DELAYBETWEENSHOTS
138 ELVEN_LORIENWARRIOR_SWORD_DELAYBETWEENSHOTS | TO | M_ELVEN_LORIENWARRIOR_SWORD_DELAYBETWEENSHOTS
139 ELVEN_RIVENDELLARCHER_DAMAGE_UPGRADE_PIERCE | TO | M_ELVEN_RIVENDELLARCHER_DAMAGE_UPGRADE_PIERCE
140 ELVEN_MIRKWOOD_ARCHER_DAMAGE_UPGRADE_PIERCE | TO | M_ELVEN_MIRKWOOD_ARCHER_DAMAGE_UPGRADE_PIERCE
141 DWARVEN_FORGEWORKS_LEVEL3_UPGRADE_BUILDTIME | TO | M_DWARVEN_FORGEWORKS_LEVEL3_UPGRADE_BUILDTIME
142 DWARVEN_FORGEWORKS_LEVEL2_UPGRADE_BUILDTIME | TO | M_DWARVEN_FORGEWORKS_LEVEL2_UPGRADE_BUILDTIME
143 DWARVEN_BARRACKS_LVL3_UNIT_PRODUCTION_SPEED | TO | M_DWARVEN_BARRACKS_LVL3_UNIT_PRODUCTION_SPEED
144 DWARVEN_BARRACKS_LVL2_UNIT_PRODUCTION_SPEED | TO | M_DWARVEN_BARRACKS_LVL2_UNIT_PRODUCTION_SPEED
145 DWARVEN_WALLHUB_SMALL_HEALTH_REALLY_DAMAGED | TO | M_DWARVEN_WALLHUB_SMALL_HEALTH_REALLY_DAMAGED
146 DWARVEN_HALLEXPANSION_HEALTH_REALLY_DAMAGED | TO | M_DWARVEN_HALLEXPANSION_HEALTH_REALLY_DAMAGED
147 DWARVEN_EREBORTOWEREXPANSION_HEALTH_DAMAGED | TO | M_DWARVEN_EREBORTOWEREXPANSION_HEALTH_DAMAGED
148 AUTORESOLVE_GOOD_SOLDIER_UPGRADE_DAMAGE_ADD | TO | M_AUTORESOLVE_GOOD_SOLDIER_UPGRADE_DAMAGE_ADD
149 ANTI_CAVALRY_INFANTRY_CRUSH_REVENGE_DAMAGE | TO | M_ANTI_CAVALRY_INFANTRY_CRUSH_REVENGE_DAMAGE
150 WILD_GOBLIN_KING_STINGER_DELAYBETWEENSHOTS | TO | M_WILD_GOBLIN_KING_STINGER_DELAYBETWEENSHOTS
151 MOUTH_OF_SAURON_DOUBT_DAMAGE_MULT_MODIFIER | TO | M_MOUTH_OF_SAURON_DOUBT_DAMAGE_MULT_MODIFIER
152 EOWYN_SHIELD_MAIDEN_ARMOR_BONUS_PERCENTAGE | TO | M_EOWYN_SHIELD_MAIDEN_ARMOR_BONUS_PERCENTAGE
153 WILD_MARAUDERSWORDS_STAB_DELAYBETWEENSHOTS | TO | M_WILD_MARAUDERSWORDS_STAB_DELAYBETWEENSHOTS
154 WILD_SPIDERRIDER_FIRE_UPGRADE_DAMAGE_FLAME | TO | M_WILD_SPIDERRIDER_FIRE_UPGRADE_DAMAGE_FLAME
155 WILD_BURROWEXPANSION_HEALTH_REALLY_DAMAGED | TO | M_WILD_BURROWEXPANSION_HEALTH_REALLY_DAMAGED
156 GOBLIN_TREASURETROVE_HEALTH_REALLY_DAMAGED | TO | M_GOBLIN_TREASURETROVE_HEALTH_REALLY_DAMAGED
157 MORDOR_GATEWATCHEREXPANSION_FIRINGDURATION | TO | M_MORDOR_GATEWATCHEREXPANSION_FIRINGDURATION
158 MORDOR_GATEWATCHEREXPANSION_PREATTACKDELAY | TO | M_MORDOR_GATEWATCHEREXPANSION_PREATTACKDELAY
159 MORDOR_GATEWATCHEREXPANSION_HEALTH_DAMAGED | TO | M_MORDOR_GATEWATCHEREXPANSION_HEALTH_DAMAGED
160 MORDOR_MORGULSORCERY_EXPANSION_ARMOR_BONUS | TO | M_MORDOR_MORGULSORCERY_EXPANSION_ARMOR_BONUS
161 MORDOR_HARADRIMRIDERS_FORGEDBLADES_UPGRADE | TO | M_MORDOR_HARADRIMRIDERS_FORGEDBLADES_UPGRADE
162 MORDOR_HARADRIMRIDERS_HEALTH_RECOVERY_TIME | TO | M_MORDOR_HARADRIMRIDERS_HEALTH_RECOVERY_TIME
163 MORDOR_ATTACKTROLL_SHOULDER_FIRINGDURATION | TO | M_MORDOR_ATTACKTROLL_SHOULDER_FIRINGDURATION
164 MORDOR_ATTACKTROLL_SHOULDER_PREATTACKDELAY | TO | M_MORDOR_ATTACKTROLL_SHOULDER_PREATTACKDELAY
165 MORDOR_ATTACKTROLL_PUNCH_DELAYBETWEENSHOTS | TO | M_MORDOR_ATTACKTROLL_PUNCH_DELAYBETWEENSHOTS
166 MORDOR_ARCHER_BARRICADE_DAMAGE_FIRE_PIERCE | TO | M_MORDOR_ARCHER_BARRICADE_DAMAGE_FIRE_PIERCE
167 ISENGARD_CASTLE_WALLSEGMENT_HEALTH_DAMAGED | TO | M_ISENGARD_CASTLE_WALLSEGMENT_HEALTH_DAMAGED
168 ISENGARD_TAVERN_LVL3_UNIT_PRODUCTION_SPEED | TO | M_ISENGARD_TAVERN_LVL3_UNIT_PRODUCTION_SPEED
